product_id,product_name,category,category.1,style,fit,fabric,color,price,sustainability_score,views,cart_adds,purchases,purchases.1,revenue,return_rate,return_rate.1,customer_rating,season,launch_date,normalized_color,normalized_fabric,normalized_fit,normalized_size,normalized_price_band,normalized_style,attribute_tags,category.2,category.3,subcategory,region,city_tier,customer_age_group,customer_gender,date_first_listed,week,month,impressions,product_views,clicks,click_through_rate,add_to_cart,add_to_cart_rate,purchases.2,purchases.3,conversion_rate,returns,return_rate.2,return_rate.3,repeat_purchases,loyalty_flag,days_to_repeat,attr_contrib_conversion,attr_contrib_return,attr_contrib_loyalty,return_risk_score,loyalty_attribute_score,top_attribute_influence,listed_price_inr
P011,Down For It All Jacket,Women,Unisex,Lifestyle,Fitted,Cotton-Blend,Purple,162,82,16820,2158,1808,1566,139752,0.13,0.1796803601978638,3.7,Q1,2025-04-01,Maroon,Nylon,Oversized,XS,Premium,Jacket,Maroon|Nylon|Oversized|XS|Premium|Hoodie,Womens Joggers,Unisex,Running,EU,Tier-1,18-24,Women,2025-03-11,2025-W11,2025-03,46165,2807,2807,0.0608036391205458,1566,0.5578909868186677,1808,1566,0.5578909868186677,281,0.13,0.1796803601978638,604,1,70.0,0.2677490163282681,-0.3016459379968978,0.1432924623789077,22.072259949105057,44.30763286203862,Price,18999
P012,Everywhere Belt Bag 1L,Unisex,Men,Business Casual,Fitted,Warpstreme,White,150,77,19753,2918,2659,682,225264,0.02,0.1536568201208075,4.4,Q1,2025-06-15,Pastel Pink,Merino Wool,Compression,XL,Mid,Duffel Bag,Pastel Pink|Merino Wool|Compression|XL|Mid|Leggings,Womens Outerwear,Men,Casual,UK,Metro,35-44,Unisex,2024-10-05,2024-W40,2024-10,37365,7818,5317,0.1422989428609661,4301,0.5501407009465337,2659,682,0.087234586850857,104,0.02,0.1536568201208075,279,1,22.0,-0.1402440758067292,0.2077750658007356,0.2203817715052771,18.49564859851389,36.40074863330625,Fabric,3999
P013,Pace Breaker Hooded Stretch‑Woven Jacket,Men,Unisex,Athletic,Mid-Rise,Warpstreme,Green,155,87,13480,3966,1818,1199,246329,0.2,0.0659483998818132,4.5,Q1,2025-06-28,White,Luon,Oversized,XXS,Premium,Jacket,White|Luon|Oversized|XXS|Premium|Hoodie,Womens Joggers,Unisex,Running,West India,Metro,55+,Women,2024-12-28,2024-W52,2024-12,18648,5578,3279,0.1758365508365508,3279,0.5878451057726783,1818,1199,0.2149515955539619,79,0.2,0.0659483998818132,187,1,38.0,0.0049700720486444,0.2419323766805283,0.7592092728445758,12.685004778643105,19.892725700851702,Price,19599
P014,Scuba Oversized Full‑Zip Hoodie,Women,Unisex,Casual,Relaxed,Merino Wool,Navy,92,66,9788,2492,2331,2696,231773,0.21,0.2049486410219204,3.6,Q1,2025-05-12,Heather Grey,Merino Wool,Oversized,XS,Mid,Hoodie,Heather Grey|Merino Wool|Oversized|XS|Mid|Joggers,Womens Tops,Unisex,Casual,EU,Metro,25-34,Women,2024-12-19,2024-W51,2024-12,48391,4616,3257,0.0673059039904114,2696,0.584055459272097,2331,2696,0.584055459272097,552,0.21,0.2049486410219204,1371,1,88.0,-0.1275572913035701,0.2963486144764636,0.5519631215749154,29.63461557463406,54.07946800335452,Style,14299
P015,Steady State Kangaroo‑Pocket Hoody,Men,Unisex,Athletic,High-Rise,Nulux,Green,118,85,9201,1670,2057,3349,171577,0.21,0.1845436398116343,4.0,Q2,2025-04-04,Heather Grey,Nulu,Oversized,L,Premium,Hoodie,Heather Grey|Nulu|Oversized|L|Premium|Duffel Bag,Womens Tops,Unisex,Casual,EU,Metro,55+,Men,2025-01-03,2025-W01,2025-01,20837,5080,3349,0.1607237126265777,3349,0.659251968503937,2057,3349,0.659251968503937,618,0.21,0.1845436398116343,775,1,56.0,-0.2776591813812847,0.3789108932500965,0.3408566369449512,30.918969425292527,25.372708249199043,Fabric,15499
P016,ABC Jogger Warpstreme,Men,Unisex,Business Casual,Regular,Nulux,Purple,140,85,5611,3405,953,1633,250091,0.02,0.2399663209005746,3.8,Q2,2025-06-04,Maroon,Cotton,Slim,L,Mid,Joggers,Maroon|Cotton|Slim|L|Mid|Sports Bra,Mens Tops,Unisex,Training,East India,Tier-1,35-44,Unisex,2024-12-10,2024-W50,2024-12,16628,5708,5708,0.3432764012509021,1633,0.2860896986685354,953,1633,0.2860896986685354,391,0.02,0.2399663209005746,320,1,45.0,0.5347144126536238,0.2654883216288588,0.0845408751118252,35.92671417610971,25.88144865686476,Fit,12999
P017,Metal Vent Tech Short Sleeve Shirt,Men,Men,Athletic,Relaxed,Warpstreme,Green,123,67,16244,3144,1712,420,316298,0.04,0.050143282858182,3.8,Q2,2025-05-08,Pastel Pink,Everlux,Oversized,M,Low,T-Shirt,Pastel Pink|Everlux|Oversized|M|Low|Sports Bra,Womens Joggers,Men,Training,SEA,Tier-2,45-54,Men,2025-03-16,2025-W11,2025-03,45324,420,420,0.0092666137145882,420,1.0,1712,420,1.0,21,0.04,0.050143282858182,87,1,52.0,0.1033865954311842,0.3207844328959688,0.6969967987729953,11.02981066917514,23.89773072097179,Fabric,8999
P018,"Align High-Rise Pant 25""",Women,Men,Lifestyle,Mid-Rise,Merino Wool,Black,104,91,10035,1092,1831,578,174261,0.18,0.0484633748395792,3.7,Q1,2025-04-14,Pastel Pink,Swift,Slim,XXL,Low,Leggings,Pastel Pink|Swift|Slim|XXL|Low|Sports Bra,Mens Tops,Men,Yoga,UK,Tier-1,25-34,Men,2025-07-29,2025-W31,2025-07,18837,1440,1344,0.0713489409141583,578,0.4013888888888889,1831,578,0.4013888888888889,28,0.18,0.0484633748395792,237,1,72.0,-0.0232184348212924,-0.3559326611590487,0.0350971168806594,2.0941156557336846,44.77078880921042,Fit,10999
P019,Swiftly Tech Long-Sleeve Crew,Women,Women,Casual,Oversized,Luon,Red,91,61,14130,1077,1201,2449,206482,0.14,0.2333393867314967,4.7,Q2,2025-06-19,Cobalt Blue,Nulu,Classic,XXL,Low,T-Shirt,Cobalt Blue|Nulu|Classic|XXL|Low|Shorts,Womens Joggers,Women,Running,East India,Tier-2,55+,Women,2024-11-22,2024-W47,2024-11,4278,2492,2492,0.5825151940158952,2492,1.0,1201,2449,0.9827447833065812,571,0.14,0.2333393867314967,683,1,28.0,0.2386294724019629,-0.1889183646028313,0.125342730516677,34.940484755783174,31.11270050537697,Fit,9499
P020,City Adventurer Backpack Mini,Unisex,Men,Performance,Regular,Nulu,Red,113,94,13637,3443,1702,191,328781,0.16,0.1114429845797363,4.9,Q1,2025-06-17,Pastel Pink,Nylon,Classic,XXS,Low,Duffel Bag,Pastel Pink|Nylon|Classic|XXS|Low|Shorts,Mens Tops,Men,Casual,North India,Tier-1,18-24,Women,2025-04-07,2025-W15,2025-04,23743,1189,191,0.0080444762666891,191,0.1606391925988225,1702,191,0.1606391925988225,21,0.16,0.1114429845797363,88,1,59.0,-0.2934169893362859,0.1597079960377212,0.7090648144229486,15.662997615144668,48.12948612524594,Fit,11999
P021,Chargefeel Low Women’s Training Shoe,Women,Women,Casual,High-Rise,Luon,Blue,127,94,9914,2514,2587,765,76323,0.11,0.0892181991096161,4.9,Q1,2025-06-20,Heather Grey,Swift,Relaxed,XXL,Mid,Training Shoes,Heather Grey|Swift|Relaxed|XXL|Mid|Duffel Bag,Womens Joggers,Women,Training,UK,Metro,25-34,Women,2025-03-20,2025-W12,2025-03,39886,4424,858,0.0215113072255929,765,0.1729204339963833,2587,765,0.1729204339963833,68,0.11,0.0892181991096161,239,1,79.0,-0.0497801040592675,0.3723127741623409,0.3295420552850723,7.303275245921768,22.33270592452869,Fabric,12999
P022,Surge Jogger,Men,Unisex,Performance,Regular,Cotton-Blend,Navy,68,69,15306,1593,808,91,64285,0.1,0.1323743304308526,3.8,Q1,2025-03-24,Black,Recycled Polyester,Slim,L,Mid,Joggers,Black|Recycled Polyester|Slim|L|Mid|T-Shirt,Womens Outerwear,Unisex,Running,South India,Metro,35-44,Women,2025-05-05,2025-W19,2025-05,9878,6700,729,0.0738003644462441,729,0.1088059701492537,808,91,0.0135820895522388,12,0.1,0.1323743304308526,10,1,54.0,0.3327301191290032,-0.3959498875543068,0.5423179494179766,12.03875982528446,11.864613806840635,Fit,11499
P023,Down For It All Jacket,Women,Unisex,Athletic,Oversized,Warpstreme,Green,92,87,19758,3902,1513,605,245688,0.16,0.1724587689356239,3.6,Q2,2025-04-20,Maroon,Everlux,Slim,L,Low,Jacket,Maroon|Everlux|Slim|L|Low|Sports Bra,Womens Outerwear,Unisex,Running,EU,Metro,35-44,Unisex,2025-07-10,2025-W28,2025-07,23415,6561,6174,0.263677130044843,4224,0.6438042981252858,1513,605,0.0922115531169029,104,0.16,0.1724587689356239,122,1,44.0,0.2703927957623366,0.0631664079047148,0.3907447941637661,29.2975605167169,17.43623357090239,Fit,18999
P024,Everywhere Belt Bag 1L,Unisex,Women,Athletic,Oversized,Luon,Blue,86,89,16405,2889,2434,1214,346087,0.05,0.239793349120803,4.3,Q1,2025-02-09,Cobalt Blue,Swift,Oversized,XXS,Mid,Duffel Bag,Cobalt Blue|Swift|Oversized|XXS|Mid|Leggings,Womens Tops,Women,Casual,Canada,Metro,35-44,Unisex,2024-10-22,2024-W43,2024-10,6931,4737,4737,0.6834511614485644,1214,0.2562803462106818,2434,1214,0.2562803462106818,291,0.05,0.239793349120803,85,1,19.0,0.5836253527882818,0.2095586594279574,0.4534392090094951,34.21424045703057,0.6671118923758543,Fit,3999
P025,Pace Breaker Hooded Stretch‑Woven Jacket,Men,Unisex,Business Casual,Mid-Rise,Nulu,Blue,164,75,16208,1603,1496,1672,69187,0.02,0.0858826321828726,3.8,Q2,2025-05-10,Cobalt Blue,Merino Wool,Relaxed,L,Mid,Jacket,Cobalt Blue|Merino Wool|Relaxed|L|Mid|Leggings,Mens pants,Unisex,Running,USA,Tier-2,18-24,Unisex,2024-12-12,2024-W50,2024-12,34480,8558,5577,0.161745939675174,4329,0.5058424865622809,1496,1672,0.1953727506426735,143,0.02,0.0858826321828726,656,1,27.0,0.2583219386922395,-0.3733534397842481,0.0993832915148255,7.770993419194251,47.64609020241323,Color,19599
P026,Scuba Oversized Full‑Zip Hoodie,Women,Women,Casual,Regular,Warpstreme,Red,144,63,14678,2622,1828,1835,237311,0.03,0.2327059387417662,3.6,Q2,2025-06-20,Heather Grey,Nulu,Relaxed,XL,Low,Hoodie,Heather Grey|Nulu|Relaxed|XL|Low|T-Shirt,Womens Outerwear,Women,Casual,West India,Tier-2,25-34,Women,2025-01-29,2025-W05,2025-01,24047,5674,3700,0.1538653470287354,1835,0.3234050052872753,1828,1835,0.3234050052872753,427,0.03,0.2327059387417662,863,1,85.0,0.1297552862649594,-0.0387799982019508,0.0413720616266629,34.424996126648274,55.704249138805125,Fabric,14299
P027,Steady State Kangaroo‑Pocket Hoody,Men,Unisex,Lifestyle,High-Rise,Warpstreme,Blue,162,80,7818,3833,1582,838,289364,0.01,0.0257176830188389,3.8,Q2,2025-02-13,Heather Grey,Recycled Polyester,Oversized,L,Mid,Hoodie,Heather Grey|Recycled Polyester|Oversized|L|Mid|Duffel Bag,Womens Tops,Unisex,Casual,EU,Tier-2,18-24,Women,2025-04-24,2025-W17,2025-04,16844,838,838,0.0497506530515317,838,1.0,1582,838,1.0,21,0.01,0.0257176830188389,121,1,51.0,0.3852893068656068,0.4060713932453271,0.1224923471686652,9.497746739572356,21.3382158265736,Fabric,15499
P028,ABC Jogger Warpstreme,Men,Women,Casual,Relaxed,Nulu,Green,77,70,9236,3732,2128,1298,59971,0.12,0.1476955497351696,4.6,Q1,2025-05-26,Black,Recycled Polyester,Slim,XXS,Mid,Joggers,Black|Recycled Polyester|Slim|XXS|Mid|Hoodie,Womens Joggers,Women,Training,West India,Tier-1,35-44,Women,2024-11-28,2024-W48,2024-11,11732,7661,1298,0.1106375724514149,1298,0.1694295783840229,2128,1298,0.1694295783840229,191,0.12,0.1476955497351696,570,1,32.0,0.5129950847676477,0.2044515279702728,-0.0445584359165775,10.750643233415836,45.25242080120229,Fit,12999
P029,Metal Vent Tech Short Sleeve Shirt,Men,Men,Athletic,High-Rise,Everlux,Purple,86,66,6785,3909,2360,259,236992,0.17,0.1658142756866495,4.4,Q2,2025-02-22,White,Everlux,Oversized,M,Mid,T-Shirt,White|Everlux|Oversized|M|Mid|Duffel Bag,Womens Tops,Men,Training,USA,Tier-1,25-34,Men,2025-03-05,2025-W10,2025-03,28442,5767,5767,0.2027635187398917,3281,0.5689266516386337,2360,259,0.0449106988035373,42,0.17,0.1658142756866495,44,1,41.0,0.3486263520465163,-0.1861074729754624,0.6743143652908075,17.388947903480805,24.0424032108937,Fabric,8999
P030,"Align High-Rise Pant 25""",Women,Men,Athletic,Fitted,Merino Wool,Green,94,88,6870,1513,1769,330,161030,0.14,0.0443564028626732,4.1,Q1,2025-01-02,Navy,Swift,Oversized,XXL,Mid,Leggings,Navy|Swift|Oversized|XXL|Mid|Leggings,Womens Joggers,Men,Yoga,Middle East,Tier-1,35-44,Men,2025-04-09,2025-W15,2025-04,33655,6365,4013,0.1192393403654731,1060,0.1665357423409269,1769,330,0.05184603299293,14,0.14,0.0443564028626732,122,1,54.0,0.5668901011944416,0.3675030166687214,0.083246933250114,2.039028219924651,37.098820048676174,Fit,10999
P031,Swiftly Tech Long-Sleeve Crew,Women,Unisex,Casual,Fitted,Merino Wool,Pink,116,65,17381,2794,1326,1103,279602,0.21,0.0522781073246999,4.6,Q2,2025-04-06,Navy,Nulu,Classic,XL,Premium,T-Shirt,Navy|Nulu|Classic|XL|Premium|Leggings,Womens Joggers,Unisex,Running,SEA,Tier-1,35-44,Men,2025-04-07,2025-W15,2025-04,47045,5675,5675,0.1206291848230417,2779,0.4896916299559471,1326,1103,0.1943612334801762,57,0.21,0.0522781073246999,707,1,51.0,0.4038046536643594,-0.0867717189314371,0.3614893944143846,15.147610432306632,65.12580359138013,Fit,9499
P032,City Adventurer Backpack Mini,Unisex,Men,Business Casual,Fitted,Luon,Pink,123,90,7716,2211,1664,1226,103170,0.05,0.1663962934427499,4.1,Q1,2025-04-22,Neon Green,Merino Wool,Slim,XXS,Low,Duffel Bag,Neon Green|Merino Wool|Slim|XXS|Low|Training Shoes,Mens Tops,Men,Casual,SEA,Tier-2,45-54,Women,2025-06-24,2025-W26,2025-06,22139,5558,1226,0.0553773883192556,1226,0.2205829435048578,1664,1226,0.2205829435048578,204,0.05,0.1663962934427499,623,1,65.0,0.4801212944357337,0.3680102040296534,0.5919744251413741,26.372378931008967,45.41697911186532,Fit,11999
P033,Chargefeel Low Women’s Training Shoe,Women,Unisex,Performance,Relaxed,Everlux,Blue,145,69,13998,2085,2417,117,71806,0.14,0.2422333397929318,4.2,Q1,2025-06-11,Heather Grey,Merino Wool,Slim,XXL,Mid,Training Shoes,Heather Grey|Merino Wool|Slim|XXL|Mid|Leggings,Womens Joggers,Unisex,Training,SEA,Tier-2,35-44,Unisex,2025-08-10,2025-W32,2025-08,8454,951,951,0.1124911284599006,117,0.1230283911671924,2417,117,0.1230283911671924,28,0.14,0.2422333397929318,56,1,28.0,-0.1973063359347265,-0.130950713992985,0.5838241093757135,40.1715871712459,49.90978788163969,Fit,12999
P034,Surge Jogger,Men,Unisex,Lifestyle,Mid-Rise,Everlux,White,105,97,16839,2505,1225,1962,97794,0.14,0.1570897872439057,3.9,Q2,2025-06-10,Olive,Luon,Relaxed,XXL,Mid,Joggers,Olive|Luon|Relaxed|XXL|Mid|Leggings,Mens Tops,Unisex,Running,Canada,Tier-2,45-54,Women,2025-03-01,2025-W09,2025-03,41717,5614,5573,0.1335906225279862,4551,0.8106519415746348,1225,1962,0.3494834342714642,308,0.14,0.1570897872439057,755,1,60.0,0.3591721526944089,0.1312882257948341,0.2383862585841928,17.86266349095471,38.8211383883374,Fit,11499
P035,Down For It All Jacket,Women,Women,Casual,Fitted,Warpstreme,Purple,117,71,16264,3122,1371,1764,106363,0.04,0.2345953409680485,3.8,Q2,2025-03-19,Navy,Nulu,Classic,XS,Low,Jacket,Navy|Nulu|Classic|XS|Low|T-Shirt,Womens Outerwear,Women,Running,South India,Tier-1,35-44,Women,2024-11-05,2024-W45,2024-11,31673,7959,3970,0.1253433523821551,2956,0.3714034426435482,1371,1764,0.2216358839050131,413,0.04,0.2345953409680485,381,1,43.0,0.0960798295746317,-0.0427539390269493,0.2762573085867256,29.591621768854655,15.092791397710336,Fit,18999
P036,Everywhere Belt Bag 1L,Unisex,Unisex,Athletic,High-Rise,Nulux,Pink,145,83,9647,1771,2646,3074,62925,0.24,0.2050030105909832,3.7,Q1,2025-02-14,Olive,Nulu,Slim,XL,Premium,Duffel Bag,Olive|Nulu|Slim|XL|Premium|Duffel Bag,Mens pants,Unisex,Casual,Middle East,Metro,45-54,Unisex,2025-08-20,2025-W34,2025-08,35163,3074,3074,0.0874214373062594,3074,1.0,2646,3074,1.0,630,0.24,0.2050030105909832,1078,1,85.0,0.1977934221701476,-0.1526574543204397,0.7947017489350248,32.989520172261045,34.81529886967923,Fit,3999
P037,Pace Breaker Hooded Stretch‑Woven Jacket,Men,Unisex,Business Casual,Fitted,Everlux,Black,118,68,9370,1734,1050,644,140182,0.03,0.127497768357717,4.3,Q2,2025-05-19,Cobalt Blue,Nulu,Classic,S,Low,Jacket,Cobalt Blue|Nulu|Classic|S|Low|Tank,Womens Joggers,Unisex,Running,Middle East,Tier-2,45-54,Unisex,2024-11-15,2024-W46,2024-11,5312,5312,1338,0.2518825301204819,1338,0.2518825301204819,1050,644,0.1212349397590361,82,0.03,0.127497768357717,160,1,20.0,0.288692168534121,0.3979018059546823,0.474597476979024,19.416036908334792,24.59829935294168,Fabric,19599
P038,Scuba Oversized Full‑Zip Hoodie,Women,Men,Lifestyle,Relaxed,Merino Wool,Blue,86,88,16342,3777,2185,356,74934,0.04,0.2004955933280031,3.5,Q1,2025-03-06,Heather Grey,Nylon,Slim,L,Low,Hoodie,Heather Grey|Nylon|Slim|L|Low|Leggings,Womens Outerwear,Men,Casual,SEA,Tier-1,25-34,Women,2024-11-26,2024-W48,2024-11,15962,356,356,0.0223029695526876,356,1.0,2185,356,1.0,71,0.04,0.2004955933280031,107,1,19.0,0.5728336050350125,-0.2311656862544578,0.6146384431178826,32.818033093521095,39.16904544094266,Fit,14299
P039,Steady State Kangaroo‑Pocket Hoody,Men,Unisex,Performance,Oversized,Nulux,Navy,73,95,10345,3139,1157,1852,160251,0.06,0.0241024603147071,4.4,Q2,2025-06-18,White,Merino Wool,Classic,M,Premium,Hoodie,White|Merino Wool|Classic|M|Premium|Training Shoes,Mens pants,Unisex,Casual,UK,Tier-2,25-34,Men,2025-06-07,2025-W23,2025-06,38508,3507,1917,0.0497818635088812,1852,0.5280866837753065,1157,1852,0.5280866837753065,44,0.06,0.0241024603147071,1052,1,45.0,0.5861202732884621,-0.3236695678878132,0.702553969219232,2.6770140925638164,61.27859177572083,Fit,15499
P040,ABC Jogger Warpstreme,Men,Unisex,Lifestyle,Fitted,Warpstreme,Blue,77,89,17897,2314,629,1893,55959,0.22,0.045103119256119,4.4,Q2,2025-02-24,Cobalt Blue,Luon,Slim,XL,Premium,Joggers,Cobalt Blue|Luon|Slim|XL|Premium|Training Shoes,Mens pants,Unisex,Training,West India,Tier-1,45-54,Unisex,2025-02-02,2025-W05,2025-02,41696,4395,2419,0.0580151573292402,2419,0.5503981797497156,629,1893,0.430716723549488,85,0.22,0.045103119256119,798,1,49.0,-0.0405945790608852,-0.0922657553089056,0.5875898362293392,8.15618652069099,42.25770097851328,Price,12999
P041,Metal Vent Tech Short Sleeve Shirt,Men,Unisex,Performance,Oversized,Warpstreme,Black,113,94,8482,1910,2144,841,138803,0.1,0.2107685814230293,4.3,Q2,2025-01-27,Maroon,Recycled Polyester,Compression,XXL,Premium,T-Shirt,Maroon|Recycled Polyester|Compression|XXL|Premium|Training Shoes,Mens pants,Unisex,Training,Canada,Tier-2,25-34,Unisex,2025-07-16,2025-W29,2025-07,22043,9828,5472,0.248242072313206,841,0.0855718355718355,2144,841,0.0855718355718355,177,0.1,0.2107685814230293,387,1,64.0,0.3603781476941245,0.2458752328774107,-0.0148206550464324,32.40588263797995,47.289180539482814,Price,8999
P042,"Align High-Rise Pant 25""",Women,Unisex,Business Casual,Mid-Rise,Merino Wool,Green,77,93,11164,2449,1045,1067,191204,0.06,0.2032679303147872,5.0,Q2,2025-01-05,Heather Grey,Luon,Slim,XL,Premium,Leggings,Heather Grey|Luon|Slim|XL|Premium|Duffel Bag,Mens Tops,Unisex,Yoga,USA,Tier-1,35-44,Unisex,2024-12-20,2024-W51,2024-12,40335,2185,2185,0.0541713152349076,2185,1.0,1045,1067,0.4883295194508009,216,0.06,0.2032679303147872,247,1,40.0,0.3749851841417417,0.3266884453786535,0.3621707337375722,34.37902649264271,23.429581588164627,Fit,10999
